"","Feature","Gain","Cover","Frequency"
"1","taxvaluedollarcnt_bytax",0.121474205189769,0.162021028882837,0.0790784557907846
"2","finishedsquarefeet12",0.065172311207455,0.0907060870631125,0.0591531755915318
"3","structuretaxvaluedollarcnt_bytax",0.0566099801837484,0.0740236663715382,0.0361145703611457
"4","taxamount",0.0554531380925539,0.0492092477096927,0.0417185554171856
"5","calculatedfinishedsquarefeet_bytax",0.0495497000035118,0.0631291809433317,0.0361145703611457
"6","yearbuilt_log",0.0477966811411143,0.029123635060619,0.0466998754669988
"7","poolcnt_byft",0.0391603807630178,0.0339489454898791,0.037359900373599
"8","structuretaxvaluedollarcnt_log",0.0387266420514022,0.0571015527235049,0.037359900373599
"9","lotsizesquarefeet_log",0.0264747225944231,0.0130342490918474,0.0330012453300125
"10","structuretaxvaluedollarcnt_byft",0.0261384787067493,0.0527049118657213,0.0305105853051059
"11","censustractandblock_log",0.0255991652902491,0.0127263369811764,0.0255292652552927
"12","yearbuilt",0.0250165000036504,0.0228250716622203,0.0292652552926526
"13","lotsizesquarefeet_bytax",0.0249997510252056,0.0176791551027883,0.0280199252801993
"14","calculatedfinishedsquarefeet_log",0.0242498110222714,0.0442999476737582,0.026774595267746
"15","taxamount_byft",0.0242465049985214,0.0274750851492427,0.0168119551681196
"16","regionidzip",0.0224764765166553,0.0171856116245917,0.0255292652552927
"17","latitude",0.0206446721165366,0.00894041286865337,0.0205479452054795
"18","lotsizesquarefeet_byft",0.019258923255147,0.00952878813959228,0.0255292652552927
"19","landtaxvaluedollarcnt_byft",0.0152570497518942,0.018881293683668,0.0180572851805729
"20","longitude_log",0.0146885691835274,0.00361675016792694,0.0193026151930262
"21","regionidneighborhood",0.0145466915236831,0.00211303155198606,0.0130759651307597
"22","propertyzoningdesc",0.0140068780816104,0.00335949466213493,0.0211706102117061
"23","taxvaluedollarcnt_byft",0.01335200686902,0.0193781226727942,0.0149439601494396
