"Feature","Gain","Cover","Frequency"
"taxamount",0.22007486931751,0.226891541931034,0.101910828025478
"taxvaluedollarcnt_log",0.124180014709425,0.0823352113149361,0.0509554140127389
"yearbuilt",0.087694155138291,0.040787830300085,0.121019108280255
"taxvaluedollarcnt",0.0842299842326774,0.0704641617433735,0.0382165605095541
"structuretaxvaluedollarcnt",0.0788426308114666,0.0368005121689675,0.089171974522293
"taxamount_log",0.0692080933514994,0.0879101326133327,0.0382165605095541
"lotsizesquarefeet",0.0549658026125796,0.0478379085170063,0.101910828025478
"finishedsquarefeet12",0.0545023141461706,0.0979902279470719,0.0764331210191083
"longitude_log",0.0392010593117204,0.0179345304335126,0.0700636942675159
"landtaxvaluedollarcnt",0.0380098891292961,0.045659208593823,0.0382165605095541
"calculatedfinishedsquarefeet",0.0231345902511458,0.0625360549633817,0.0191082802547771
"yearbuilt_log",0.0222036699001253,0.0219140936509229,0.0382165605095541
"structuretaxvaluedollarcnt_log",0.020916443022464,0.00621599416485826,0.0254777070063694
"bedroomcnt",0.016923024763229,0.0208852750991013,0.0191082802547771
"finishedsquarefeet15",0.0155613701573526,0.0271745101156387,0.0318471337579618
"latitude_log",0.0138696915444461,0.0200990130148993,0.0445859872611465
"finishedsquarefeet12_log",0.00680887599852602,0.0184816826784093,0.0127388535031847
"calculatedfinishedsquarefeet_log",0.00574765030488276,0.0186264410676104,0.00636942675159236
"finishedsquarefeet6",0.0042562460156411,0.00913701166123607,0.0191082802547771
"landtaxvaluedollarcnt_log",0.00381427148829412,0.0104325130788774,0.00636942675159236
"yardbuildingsqft17",0.00271558749612873,0.00710091598455738,0.0127388535031847
"unitcnt",0.00264523491168301,0.0105130780157244,0.00636942675159236
"garagetotalsqft",0.00258829607158177,0.00352460827992136,0.00636942675159236
"taxdelinquencyyear",0.00222439955488389,0.000398947227381394,0.00636942675159236
"finishedfloor1squarefeet_log",0.00208644021471026,0.000700527204883528,0.00636942675159236
"bedroomcnt_log",0.00187491863895455,0.0037800896037196,0.00636942675159236
"roomcnt",0.00172047690531532,0.00386797862573451,0.00636942675159236
